,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
"US spending on science, space, and technology
Millions of todays dollars (US OMB)",18079,18594,19753,20734,20831,23029,23597,23584,25525,27731,29449
"Suicides by hanging, strangulation and suffocation
Deaths (US) (CDC)",5427,5688,6198,6462,6635,7336,7248,7491,8161,8578,9000
